date,fund_name,asset_family,portfolio_method,daily_return,growth_of_1,drawdown,active_target_rebalance_date
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,-0.003890754794180158,0.9961092452058199,-0.003890754794180107,2021-01-04
2021-01-05,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.018935846474633637,1.0149714169450006,0.0,2021-01-04
2021-01-06,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.04682554464297435,1.0624980063405016,0.0,2021-01-04
2021-01-07,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.007500963904495401,1.07046776553466,0.0,2021-01-04
2021-01-08,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.0001483791362301471,1.0706266006170724,0.0,2021-01-04
2021-01-11,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,-0.023976108236173063,1.0449571413601515,-0.02397610823617302,2021-01-04
2021-01-12,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.0014124661877677708,1.0464331079899891,-0.022597507490603075,2021-01-04
2021-01-13,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.014305437693910999,1.0614027916171855,-0.008615337032136683,2021-01-04
2021-01-14,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.006223589963405872,1.0680085273782252,-0.0024453653938154574,2021-01-04
2021-01-15,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,-0.018017192270282756,1.0487660123941502,-0.020418499045626648,2021-01-04
2021-01-19,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.007738513923559628,1.0568819027836185,-0.012837993961229754,2021-01-04
2021-01-20,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.005089689031193294,1.062261103011483,-0.007813646327083368,2021-01-04
2021-01-21,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,-0.03155162323514963,1.0287450409119103,-0.039118736337228066,2021-01-04
2021-01-22,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.007923676220714906,1.0368964835297625,-0.031505024317412866,2021-01-04
2021-01-25,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,-0.002778121855874593,1.034015858746589,-0.03419562137666121,2021-01-04
2021-01-26,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,-0.004887780413148798,1.0289618162853222,-0.03891626110142976,2021-01-04
2021-01-27,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,-0.03425224570112072,0.9937175633368459,-0.07183553746553539,2021-01-04
2021-01-28,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.02607104685736694,1.0196248204935892,-0.047637318271456675,2021-01-04
