rebalance_date,fund_name,asset_family,portfolio_method,ticker,holding_asset_class,target_weight,estimation_start_date,estimation_end_date,estimation_observations
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,ABBV,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,ABT,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,ADA-USD,cryptocurrency,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,ADBE,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,AEP,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,AMD,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,AMGN,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,AMT,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,BA,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,BCH-USD,cryptocurrency,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,BTC-USD,cryptocurrency,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,CAT,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,CCI,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,CMCSA,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,COP,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,CVX,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,D,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,DD,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,DIS,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,DOW,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,DUK,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,EA,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,EOS-USD,cryptocurrency,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,ETC-USD,cryptocurrency,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,ETH-USD,cryptocurrency,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,GE,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,GILD,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,GS,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,INTC,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,KO,equity,0.016666666666666666,2020-01-03,2020-12-31,252
2021-01-04,Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,LTC-USD,cryptocurrency,0.016666666666666666,2020-01-03,2020-12-31,252
