rebalance_date,strategy_name,variant,portfolio_method,asset_family,uses_sentiment,ticker,sector,holding_asset_class,target_weight,base_target_weight,sentiment_observation_date,lagged_sentiment_value,sentiment_available,tilt_multiplier,estimation_start_date,estimation_end_date,estimation_observations
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,ABBV,Healthcare,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,ABT,Healthcare,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,ADBE,Tech,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,AEP,Utilities,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,AMD,Tech,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,AMGN,Healthcare,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,AMT,RealEstate,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,BA,Industrials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,CAT,Industrials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,CCI,RealEstate,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,CMCSA,Comm,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,COP,Energy,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,CVX,Energy,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,D,Utilities,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,DD,Materials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,DIS,Consumer,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,DOW,Materials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,DUK,Utilities,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,EA,Comm,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,GE,Industrials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,GILD,Healthcare,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,GS,Financials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,INTC,Tech,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,KO,Consumer,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,MMM,Industrials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,MRK,Healthcare,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,MS,Financials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,NEE,Utilities,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,NEM,Materials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,NKE,Consumer,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,NUE,Materials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,NVDA,Tech,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,O,RealEstate,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,OXY,Energy,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,PLD,RealEstate,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,PSA,RealEstate,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,QCOM,Tech,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,SBUX,Consumer,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,SHW,Materials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,SLB,Energy,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,SO,Utilities,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,T,Comm,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,TMUS,Comm,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,TTWO,Comm,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,UPS,Industrials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,USB,Financials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,V,Financials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,WFC,Financials,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,WMT,Consumer,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight,Base,Equal Weight,Equity,False,XOM,Energy,equity,0.02,0.02,,,False,1.0,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,ABBV,Healthcare,equity,0.019746318522420567,0.02,2020-12-31,0.2181611111111111,True,1.1090805555555556,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,ABT,Healthcare,equity,0.019746318522420567,0.02,2020-12-31,0.2181611111111111,True,1.1090805555555556,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,ADBE,Tech,equity,0.019623370465229203,0.02,2020-12-31,0.20435,True,1.102175,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,AEP,Utilities,equity,0.021724713989768118,0.02,2020-12-31,0.4404,True,1.2202,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,AMD,Tech,equity,0.019623370465229203,0.02,2020-12-31,0.20435,True,1.102175,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,AMGN,Healthcare,equity,0.019746318522420567,0.02,2020-12-31,0.2181611111111111,True,1.1090805555555556,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,AMT,RealEstate,equity,0.01961758409246517,0.02,2020-12-31,0.2037,True,1.10185,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,BA,Industrials,equity,0.018966602319658073,0.02,2020-12-31,0.13057333333333332,True,1.0652866666666667,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,CAT,Industrials,equity,0.018966602319658073,0.02,2020-12-31,0.13057333333333332,True,1.0652866666666667,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,CCI,RealEstate,equity,0.01961758409246517,0.02,2020-12-31,0.2037,True,1.10185,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,CMCSA,Comm,equity,0.01870005895769829,0.02,2020-12-31,0.10063174603174603,True,1.050315873015873,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,COP,Energy,equity,0.018324033042638688,0.02,2020-12-31,0.058391666666666675,True,1.0291958333333333,2020-01-03,2020-12-31,252
2021-01-04,Equity Equal Weight + Sector Sentiment,Sentiment fusion,Equal Weight + Sector Sentiment,Equity,True,CVX,Energy,equity,0.018324033042638688,0.02,2020-12-31,0.058391666666666675,True,1.0291958333333333,2020-01-03,2020-12-31,252
