fund_name,portfolio_method,latest_rebalance_date,holding_rank,ticker,holding_asset_class,target_weight
Combined Equal Weight,Equal Weight,2023-12-01,1,ABBV,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,2,ABT,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,3,ADA-USD,cryptocurrency,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,4,ADBE,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,5,AEP,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,6,AMD,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,7,AMGN,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,8,AMT,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,9,BA,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,10,BCH-USD,cryptocurrency,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,11,BTC-USD,cryptocurrency,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,12,CAT,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,13,CCI,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,14,CMCSA,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,15,COP,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,16,CVX,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,17,D,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,18,DD,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,19,DIS,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,20,DOW,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,21,DUK,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,22,EA,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,23,EOS-USD,cryptocurrency,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,24,ETC-USD,cryptocurrency,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,25,ETH-USD,cryptocurrency,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,26,GE,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,27,GILD,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,28,GS,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,29,INTC,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,30,KO,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,31,LTC-USD,cryptocurrency,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,32,MMM,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,33,MRK,equity,0.0166666666666666
Combined Equal Weight,Equal Weight,2023-12-01,34,MS,equity,0.0166666666666666
