fund_name,asset_family,portfolio_method,cost_rate_bps_one_way,gross_annualised_return,net_annualised_return,gross_sharpe_ratio,net_sharpe_ratio,gross_final_growth_of_1,net_final_growth_of_1,total_one_way_turnover
Equity Equal Weight,Equity only,Equal Weight,0.0,0.1264237978181748,0.1264237978181748,0.8192923665597752,0.8192923665597743,1.4272168148150326,1.4272168148150326,0.9533748669333082
Equity Equal Weight,Equity only,Equal Weight,10.0,0.1264237978181748,0.12606445574084346,0.8192923665597752,0.8173462863089084,1.4272168148150326,1.4258567709415157,0.9533748669333082
Equity Risk Parity,Equity only,Risk Parity,0.0,0.09911989915075603,0.09911989915075603,0.723120576533351,0.7231205765333515,1.3263146912871053,1.3263146912871053,1.1101660742257682
Equity Risk Parity,Equity only,Risk Parity,10.0,0.09911989915075603,0.09871161220656965,0.723120576533351,0.7205980225236231,1.3263146912871053,1.3248430530555084,1.1101660742257682
Equity Minimum Variance,Equity only,Minimum Variance,0.0,0.05502250930340691,0.05502250930340691,0.48598049133078713,0.4859804913307873,1.1735679795526612,1.1735679795526612,5.022311199936297
Equity Minimum Variance,Equity only,Minimum Variance,10.0,0.05502250930340691,0.05325059319748937,0.48598049133078713,0.47280182394533493,1.1735679795526612,1.1676882296379452,5.022311199936297
Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,0.0,0.405047176336951,0.405047176336951,0.8288002835884539,0.8288002835884543,2.773784516186687,2.773784516186687,2.082293085568196
Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,10.0,0.405047176336951,0.4040722321970973,0.8288002835884539,0.8279521543401402,2.773784516186687,2.768014441764347,2.082293085568196
Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,0.0,0.4429894523870961,0.4429894523870961,0.8624744047349644,0.8624744047349644,3.0046194192123448,3.0046194192123448,2.2495020074654724
Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,10.0,0.4429894523870961,0.44190780456201817,0.8624744047349644,0.8615357197787855,3.0046194192123448,2.9978678011461,2.2495020074654724
Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,0.0,0.37391694686174914,0.37391694686174914,0.8143850006366762,0.8143850006366764,2.5934712703529716,2.5934712703529716,2.4601388431690467
Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,10.0,0.37391694686174914,0.3727906608196969,0.8143850006366762,0.8131285048183264,2.5934712703529716,2.5870984034184437,2.4601388431690467
Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,0.0,0.15135261955180979,0.15135261955180979,0.7608055516376531,0.7608055516376531,1.5236892003153555,1.5236892003153555,1.3500479890860282
Combined Equal Weight,Combined equity + cryptocurrency,Equal Weight,10.0,0.15135261955180979,0.15083253466783608,0.7608055516376531,0.7587363342133785,1.5236892003153555,1.5216334911236244,1.3500479890860282
Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0,0.13966330661294002,0.13966330661294002,0.8880221069024697,0.8880221069024694,1.4779297299545524,1.4779297299545524,1.3218728571973322
Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,10.0,0.13966330661294002,0.1391592432622637,0.8880221069024697,0.885337640472447,1.4779297299545524,1.4759773433391148,1.3218728571973322
Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,0.0,0.05472628343210806,0.05472628343210806,0.4830995824371742,0.4830995824371746,1.1725836450070553,1.1725836450070553,5.080479356561148
Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,10.0,0.05472628343210806,0.05293436436652943,0.4830995824371742,0.46979026110912087,1.1725836450070553,1.166640952881525,5.080479356561148
