rebalance_date,fund_name,asset_family,portfolio_method,initial_establishment,one_way_turnover
2021-01-04,Equity Equal Weight,Equity only,Equal Weight,True,0.0
2021-02-01,Equity Equal Weight,Equity only,Equal Weight,False,0.025333838004933648
2021-03-01,Equity Equal Weight,Equity only,Equal Weight,False,0.048080909566088764
2021-04-01,Equity Equal Weight,Equity only,Equal Weight,False,0.02334629231451527
2021-05-03,Equity Equal Weight,Equity only,Equal Weight,False,0.021274224268830265
2021-06-01,Equity Equal Weight,Equity only,Equal Weight,False,0.02092425387593157
2021-07-01,Equity Equal Weight,Equity only,Equal Weight,False,0.02667405773322292
2021-08-02,Equity Equal Weight,Equity only,Equal Weight,False,0.022290182207067667
2021-09-01,Equity Equal Weight,Equity only,Equal Weight,False,0.018564143772417666
2021-10-01,Equity Equal Weight,Equity only,Equal Weight,False,0.024861097677564545
2021-11-01,Equity Equal Weight,Equity only,Equal Weight,False,0.030892860165321348
2021-12-01,Equity Equal Weight,Equity only,Equal Weight,False,0.03273590616817381
2022-01-03,Equity Equal Weight,Equity only,Equal Weight,False,0.022483032262101882
2022-02-01,Equity Equal Weight,Equity only,Equal Weight,False,0.040883125538087
2022-03-01,Equity Equal Weight,Equity only,Equal Weight,False,0.028415889189891498
2022-04-01,Equity Equal Weight,Equity only,Equal Weight,False,0.03348463276404172
2022-05-02,Equity Equal Weight,Equity only,Equal Weight,False,0.036011266897346926
2022-06-01,Equity Equal Weight,Equity only,Equal Weight,False,0.029982873992492786
2022-07-01,Equity Equal Weight,Equity only,Equal Weight,False,0.035731082777456694
2022-08-01,Equity Equal Weight,Equity only,Equal Weight,False,0.027947302729232255
2022-09-01,Equity Equal Weight,Equity only,Equal Weight,False,0.021912206328306094
2022-10-03,Equity Equal Weight,Equity only,Equal Weight,False,0.02885178076375974
2022-11-01,Equity Equal Weight,Equity only,Equal Weight,False,0.035976418248330554
2022-12-01,Equity Equal Weight,Equity only,Equal Weight,False,0.028513568246996975
2023-01-03,Equity Equal Weight,Equity only,Equal Weight,False,0.022242937945455458
2023-02-01,Equity Equal Weight,Equity only,Equal Weight,False,0.03226719250383653
2023-03-01,Equity Equal Weight,Equity only,Equal Weight,False,0.02025530215394363
2023-04-03,Equity Equal Weight,Equity only,Equal Weight,False,0.028673054808548763
2023-05-01,Equity Equal Weight,Equity only,Equal Weight,False,0.019335278615591082
2023-06-01,Equity Equal Weight,Equity only,Equal Weight,False,0.031073954582808167
2023-07-03,Equity Equal Weight,Equity only,Equal Weight,False,0.019012056781482843
2023-08-01,Equity Equal Weight,Equity only,Equal Weight,False,0.02208908893646035
2023-09-01,Equity Equal Weight,Equity only,Equal Weight,False,0.021630116488075425
2023-10-02,Equity Equal Weight,Equity only,Equal Weight,False,0.019764388141731093
2023-11-01,Equity Equal Weight,Equity only,Equal Weight,False,0.022386155925351224
2023-12-01,Equity Equal Weight,Equity only,Equal Weight,False,0.029474394557912058
2021-01-04,Equity Risk Parity,Equity only,Risk Parity,True,0.0
2021-02-01,Equity Risk Parity,Equity only,Risk Parity,False,0.024270140492817796
2021-03-01,Equity Risk Parity,Equity only,Risk Parity,False,0.04313072023928755
2021-04-01,Equity Risk Parity,Equity only,Risk Parity,False,0.05880627680199356
2021-05-03,Equity Risk Parity,Equity only,Risk Parity,False,0.04474875980610739
2021-06-01,Equity Risk Parity,Equity only,Risk Parity,False,0.037318820720955034
2021-07-01,Equity Risk Parity,Equity only,Risk Parity,False,0.04523396157478227
2021-08-02,Equity Risk Parity,Equity only,Risk Parity,False,0.01963716627869885
2021-09-01,Equity Risk Parity,Equity only,Risk Parity,False,0.019061804540030015
2021-10-01,Equity Risk Parity,Equity only,Risk Parity,False,0.03118459758388157
2021-11-01,Equity Risk Parity,Equity only,Risk Parity,False,0.03414457829953401
2021-12-01,Equity Risk Parity,Equity only,Risk Parity,False,0.0488463881256078
2022-01-03,Equity Risk Parity,Equity only,Risk Parity,False,0.027176584130262436
2022-02-01,Equity Risk Parity,Equity only,Risk Parity,False,0.03637498789270618
2022-03-01,Equity Risk Parity,Equity only,Risk Parity,False,0.0342598751441098
2022-04-01,Equity Risk Parity,Equity only,Risk Parity,False,0.023655579624347136
2022-05-02,Equity Risk Parity,Equity only,Risk Parity,False,0.041727704667535045
2022-06-01,Equity Risk Parity,Equity only,Risk Parity,False,0.0448869008821902
2022-07-01,Equity Risk Parity,Equity only,Risk Parity,False,0.038147092351781875
2022-08-01,Equity Risk Parity,Equity only,Risk Parity,False,0.035102744527254134
2022-09-01,Equity Risk Parity,Equity only,Risk Parity,False,0.01921435201853328
2022-10-03,Equity Risk Parity,Equity only,Risk Parity,False,0.03249291303607382
2022-11-01,Equity Risk Parity,Equity only,Risk Parity,False,0.034212227710151394
2022-12-01,Equity Risk Parity,Equity only,Risk Parity,False,0.03630589724129373
2023-01-03,Equity Risk Parity,Equity only,Risk Parity,False,0.02291768536506031
2023-02-01,Equity Risk Parity,Equity only,Risk Parity,False,0.0315702588194809
2023-03-01,Equity Risk Parity,Equity only,Risk Parity,False,0.01734457170050288
2023-04-03,Equity Risk Parity,Equity only,Risk Parity,False,0.02353395162075376
2023-05-01,Equity Risk Parity,Equity only,Risk Parity,False,0.02101853187036965
2023-06-01,Equity Risk Parity,Equity only,Risk Parity,False,0.026966968674561925
2023-07-03,Equity Risk Parity,Equity only,Risk Parity,False,0.02728045947907513
2023-08-01,Equity Risk Parity,Equity only,Risk Parity,False,0.02314488378311479
2023-09-01,Equity Risk Parity,Equity only,Risk Parity,False,0.020637209923698458
2023-10-02,Equity Risk Parity,Equity only,Risk Parity,False,0.01761978011869226
2023-11-01,Equity Risk Parity,Equity only,Risk Parity,False,0.02707004240629287
2023-12-01,Equity Risk Parity,Equity only,Risk Parity,False,0.04112165677423023
2021-01-04,Equity Minimum Variance,Equity only,Minimum Variance,True,0.0
2021-02-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.052600525208927884
2021-03-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.08261117044237101
2021-04-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.2871193469898854
2021-05-03,Equity Minimum Variance,Equity only,Minimum Variance,False,0.19324241928217462
2021-06-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.10838044961988615
2021-07-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.19905292131612703
2021-08-02,Equity Minimum Variance,Equity only,Minimum Variance,False,0.0721113758786632
2021-09-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.05237703069207166
